#A,B,Weight
7364,3512,2
18570,3512,1
13728,7040,6
7040,1480,1
7040,4429,1
10222,17618,2
10222,1784,5
17618,1480,1
17618,4429,1
4235,1784,1536
2501,13728,7
2501,7040,3
2501,12301,2
2501,1784,9
5567,7040,2
5567,12301,2
13728,12301,2
3190,7040,4
3190,12301,2
7040,12301,2
12301,1784,3
10619,9778,7
5944,9778,8
17740,9778,8
5292,9778,7
5742,9778,8
103,9778,6
6902,5899,14
6902,6633,12
5899,6633,13
9378,11115,2
9378,617,2
9378,18127,2
9378,6392,2
9378,12801,2
9378,12195,2
9378,6106,1
11115,617,2
11115,18127,2
11115,6106,1
617,6392,2
617,12801,2
617,12195,2
617,6106,1
18127,6392,2
18127,12801,2
18127,12195,2
18127,6106,1
6392,12195,7
6392,6106,1
12801,6106,1
12195,6106,1
3583,4861,8
2768,13741,2
13741,4096,3
13741,1784,3
13741,5620,1
14181,87,7
14181,17198,12
16215,87,8
895,4480,1
895,16018,2
895,16933,4
895,8383,2
895,266,1
913,4480,1
913,16018,3
913,16933,2
913,266,1
4480,16018,1
4480,15108,1
4480,4785,1
4480,4235,1
4480,16933,1
4480,9946,1
4480,8383,1
4480,10023,1
4480,266,1
4480,17428,1
16018,15108,1
16018,4785,1
16018,16933,1
16018,9946,1
16018,8383,1
16018,10023,1
16018,266,1
16018,17428,1
15108,10023,1
15108,266,1
4785,10023,1
4785,266,1
4785,17428,1
16933,8383,1
16933,10023,1
16933,266,1
16933,17428,1
9946,8383,1
9946,10023,1
9946,266,1
9946,17428,1
8383,10023,1
8383,266,1
8383,17428,3
10023,266,1
10023,17428,1
12548,17049,2
12548,14148,6
17049,13224,2
17049,6205,2
17049,14148,1
17049,18798,1
13224,14148,2
13224,18798,1
6205,14148,5
6205,18798,1
14148,18798,1
5862,19063,1
5862,8761,1
19063,5742,1
19063,8761,1
19063,11786,1
5742,8761,1
8761,11786,1
16215,2961,10
16215,17452,7
16215,1918,5
16215,7783,1
4235,17198,62
4235,7783,1
4235,5620,150
17198,17452,4
17198,1918,4
17198,7783,1
2961,17452,2
2961,1918,4
2961,7783,1
17452,7783,1
1918,7783,1
7783,5620,1
7783,1784,1
5620,1784,195
14103,16619,2
14103,15073,2
14103,13104,1
14103,16893,1
18820,16619,2
18820,15073,2
18820,13104,1
13169,15073,3
13169,13104,1
13169,16893,1
17585,16619,1
17585,15073,3
17585,13104,1
17585,16893,1
16619,6358,2
16619,15073,1
16619,13104,1
16619,16893,1
6358,15073,3
6358,13104,1
6358,16893,1
15073,13104,1
15073,16893,1
13104,1784,1
13104,18242,1
13104,16893,1
18242,16893,1
9820,13334,31
8554,10222,2
8554,10328,1
8554,12032,1
8554,3169,1
8554,10210,1
8554,2432,1
8554,1829,1
8719,10328,1
8719,12032,1
8719,3169,1
8719,10210,1
8719,2432,1
8719,1829,1
10222,10328,1
10222,12032,1
10222,3169,1
10222,10210,1
10222,2432,1
10222,1829,1
10328,12032,1
10328,3169,1
10328,10210,1
10328,2432,1
10328,1829,1
12032,3169,1
12032,10210,1
12032,2432,1
12032,1829,1
3169,10210,1
3169,2432,1
3169,1829,1
10210,2432,1
10210,1829,1
2432,1829,2
9329,18299,4
18402,13988,15
18402,18299,4
9905,2089,1
9905,13988,1
9905,18299,1
2089,13988,3
2089,18299,1
12907,18299,1
9666,13988,5
9666,18299,1
13988,18299,3
12445,13357,1
9666,12907,554
18700,4861,2
4861,7372,1
4429,1480,58
4235,9666,596
4235,1926,2
11605,9496,1
11605,17452,2
11605,1926,1
9666,1926,1
9496,17452,2
9496,1926,1
17452,1926,1
15649,2727,1
15649,15075,1
15649,11360,1
15649,3512,1
2727,15075,1
2727,11360,1
2727,3512,1
2727,7759,1
15075,11360,1
15075,3512,1
15075,7759,1
11360,3512,1
11360,7759,1
3512,7759,1
9666,4947,1
4947,1327,1
4947,8471,1
4947,9402,1
4947,4931,1
4947,12907,1
4947,3735,1
1327,8471,1
8471,9402,1
9402,12907,4
4931,3735,2
8362,10443,1
8362,18798,1
8362,8003,1
8362,14069,1
8362,11503,1
8362,8053,1
8362,17277,1
10443,14069,1
10443,11503,1
10443,8053,1
10443,17277,1
18798,8003,3
18798,14069,2
18798,11503,1
18798,8053,1
8003,14069,1
8003,11503,1
8003,8053,1
8003,17277,2
14069,11503,1
14069,8053,1
14069,17277,1
11503,8053,1
11503,17277,1
8053,17277,1
14531,16794,1
14531,6995,1
10211,16794,1
10211,6995,1
3190,16794,1
3190,6995,1
437,16794,1
437,6995,1
16794,6995,1
13484,3649,2
13484,7929,1
3649,7929,1
8291,7929,1
5252,18893,4
13501,18893,1
4416,4861,34
12907,5446,5
10212,5446,1
10212,17339,6
5446,12687,1
5446,1059,1
5446,5025,1
12687,17339,5
1059,17339,3
19103,2347,5
2347,4295,4
2347,16824,2
2347,17452,1
2347,3447,1
4295,7931,1
17452,9666,70
3447,12907,6
5255,4573,1
5255,13401,1
